customer_id,industry,region,signup_date,plan_type,monthly_revenue,churned,renewal_date,sales_rep,usage_score,nps_score
CUST-100000,Healthcare,North America,2024-03-30,Pro,312.36,1,2025-07-10,Team Bravo,64.7,7
CUST-100001,Retail,EMEA,2021-08-18,Pro,333.75,0,2025-07-11,Team Alpha,97.8,8
CUST-100002,Consulting,North America,2022-07-26,Basic,83.37,0,2025-07-11,Team Bravo,67.8,8
CUST-100003,Retail,North America,2022-02-12,Pro,449.73,0,2025-07-11,Team Delta,77.5,5
CUST-100004,Retail,LATAM,2024-05-27,Pro,385.24,0,2025-07-11,Team Alpha,38.4,3
CUST-100005,Education,LATAM,2024-01-14,Basic,88.25,1,2025-07-10,Team Bravo,64.1,9
CUST-100006,Retail,APAC,2021-08-29,Basic,54.65,0,2025-07-11,Team Delta,66.0,5
CUST-100007,Healthcare,APAC,2021-12-03,Pro,269.27,0,2025-07-11,Team Charlie,89.2,7
CUST-100008,Fintech,LATAM,2022-07-07,Pro,383.0,0,2025-07-11,Team Delta,69.2,2
CUST-100009,Healthcare,APAC,2023-11-29,Pro,398.76,0,2025-07-11,Team Charlie,57.6,6
CUST-100010,Retail,North America,2024-04-15,Basic,70.79,0,2025-07-11,Team Bravo,42.3,4
CUST-100011,Manufacturing,North America,2022-06-18,Enterprise,3391.6,1,2025-07-10,Team Alpha,39.3,8
CUST-100012,Consulting,APAC,2024-01-12,Basic,107.04,0,2025-07-11,Team Charlie,79.0,8
CUST-100013,Education,APAC,2021-07-21,Basic,85.68,0,2025-07-11,Team Charlie,99.6,9
CUST-100014,Healthcare,EMEA,2024-06-29,Pro,288.88,0,2025-07-11,Team Bravo,74.3,1
CUST-100015,Education,LATAM,2022-12-21,Basic,69.87,0,2025-07-11,Team Bravo,70.9,3
CUST-100016,Media,North America,2022-03-09,Basic,120.69,0,2025-07-11,Team Alpha,62.4,7
CUST-100017,Media,LATAM,2022-12-15,Basic,135.0,0,2025-07-11,Team Bravo,70.4,1
CUST-100018,Media,EMEA,2021-12-02,Pro,219.07,0,2025-07-11,Team Delta,92.7,8
CUST-100019,Energy,EMEA,2021-12-08,Basic,77.47,0,2025-07-11,Team Bravo,61.5,3
CUST-100020,Manufacturing,LATAM,2022-12-27,Enterprise,1478.38,0,2025-07-11,Team Delta,80.4,7
CUST-100021,Media,EMEA,2021-09-16,Enterprise,1161.73,0,2025-07-11,Team Bravo,98.1,10
CUST-100022,Energy,North America,2023-10-22,Pro,207.63,0,2025-07-11,Team Alpha,76.3,4
CUST-100023,Education,EMEA,2023-02-19,Pro,368.98,0,2025-07-11,Team Delta,70.5,5
CUST-100024,Healthcare,LATAM,2023-11-15,Basic,74.93,0,2025-07-11,Team Delta,63.2,7
CUST-100025,Manufacturing,North America,2024-03-13,Pro,286.93,0,2025-07-11,Team Alpha,86.2,2
CUST-100026,Manufacturing,APAC,2023-12-24,Basic,112.44,0,2025-07-11,Team Delta,73.4,4
CUST-100027,Education,LATAM,2024-07-09,Basic,139.26,0,2025-07-11,Team Charlie,60.7,10
CUST-100028,Education,North America,2021-09-20,Enterprise,1488.35,0,2025-07-11,Team Charlie,71.1,9
CUST-100029,Retail,EMEA,2022-10-03,Basic,131.8,1,2025-07-10,Team Bravo,61.9,7
CUST-100030,Fintech,APAC,2022-07-07,Basic,66.47,0,2025-07-11,Team Alpha,100.0,10
CUST-100031,Media,APAC,2023-02-21,Basic,83.76,1,2025-07-10,Team Bravo,52.7,6
CUST-100032,Healthcare,North America,2023-06-15,Pro,265.63,0,2025-07-11,Team Alpha,65.1,10
CUST-100033,Education,EMEA,2022-03-20,Pro,488.73,0,2025-07-11,Team Bravo,72.8,2
CUST-100034,Manufacturing,LATAM,2023-01-13,Enterprise,3849.08,0,2025-07-11,Team Bravo,74.0,7
CUST-100035,Manufacturing,LATAM,2024-05-17,Enterprise,2114.59,1,2025-07-10,Team Charlie,60.2,3
CUST-100036,Energy,LATAM,2024-07-05,Basic,118.07,0,2025-07-11,Team Bravo,100.0,7
CUST-100037,Healthcare,APAC,2024-02-12,Basic,117.21,0,2025-07-11,Team Bravo,45.9,1
CUST-100038,Retail,North America,2023-10-18,Basic,122.82,0,2025-07-11,Team Alpha,96.1,1
CUST-100039,Retail,North America,2022-03-21,Enterprise,1602.87,0,2025-07-11,Team Charlie,95.9,3
CUST-100040,Healthcare,EMEA,2023-02-20,Basic,109.09,0,2025-07-11,Team Delta,75.1,3
CUST-100041,Retail,EMEA,2024-03-31,Pro,304.6,0,2025-07-11,Team Delta,69.5,9
CUST-100042,Retail,LATAM,2024-06-08,Pro,407.28,0,2025-07-11,Team Bravo,63.3,7
CUST-100043,Healthcare,North America,2021-10-05,Pro,362.43,0,2025-07-11,Team Charlie,70.2,7
CUST-100044,Consulting,LATAM,2021-08-29,Basic,116.0,0,2025-07-11,Team Alpha,95.5,2
CUST-100045,Healthcare,North America,2023-03-26,Basic,149.63,1,2025-07-10,Team Charlie,93.1,5
CUST-100046,Healthcare,EMEA,2021-10-21,Basic,140.04,0,2025-07-11,Team Delta,56.4,3
CUST-100047,Education,LATAM,2023-12-09,Basic,135.63,0,2025-07-11,Team Delta,55.2,1
CUST-100048,Retail,North America,2022-06-06,Basic,114.2,0,2025-07-11,Team Alpha,79.4,2
CUST-100049,Fintech,North America,2023-03-17,Enterprise,1643.23,0,2025-07-11,Team Bravo,64.3,6
CUST-100050,Education,LATAM,2022-02-17,Basic,94.84,1,2025-07-10,Team Bravo,35.0,8
CUST-100051,Consulting,North America,2022-02-12,Basic,114.96,0,2025-07-11,Team Alpha,74.6,1
CUST-100052,Consulting,APAC,2023-11-30,Enterprise,2232.24,0,2025-07-11,Team Delta,100.0,6
CUST-100053,Manufacturing,LATAM,2024-01-05,Pro,273.2,1,2025-07-10,Team Delta,57.2,3
CUST-100054,Education,EMEA,2024-01-03,Basic,139.2,0,2025-07-11,Team Alpha,75.2,1
CUST-100055,Fintech,APAC,2023-01-24,Basic,69.52,0,2025-07-11,Team Delta,96.8,3
CUST-100056,Education,North America,2022-02-10,Enterprise,3288.02,0,2025-07-11,Team Alpha,48.3,6
CUST-100057,Education,North America,2021-11-29,Pro,311.05,0,2025-07-11,Team Bravo,71.4,8
CUST-100058,Consulting,North America,2021-12-28,Enterprise,2323.0,0,2025-07-11,Team Bravo,80.0,4
CUST-100059,Fintech,North America,2024-03-11,Basic,79.44,0,2025-07-11,Team Charlie,75.8,7
CUST-100060,Manufacturing,EMEA,2024-06-02,Pro,280.54,0,2025-07-11,Team Charlie,54.9,6
CUST-100061,Retail,APAC,2024-01-23,Basic,119.6,0,2025-07-11,Team Charlie,50.7,8
CUST-100062,Energy,APAC,2023-02-28,Enterprise,1835.67,0,2025-07-11,Team Alpha,55.4,10
CUST-100063,Fintech,LATAM,2024-01-22,Pro,463.21,0,2025-07-11,Team Alpha,63.7,1
CUST-100064,Healthcare,EMEA,2023-10-10,Pro,240.99,0,2025-07-11,Team Bravo,48.0,10
CUST-100065,Media,North America,2023-11-17,Enterprise,4240.45,1,2025-07-10,Team Charlie,62.0,10
CUST-100066,Manufacturing,EMEA,2024-06-01,Basic,50.52,0,2025-07-11,Team Charlie,66.7,3
CUST-100067,Fintech,APAC,2024-06-04,Enterprise,2351.98,0,2025-07-11,Team Alpha,73.1,2
CUST-100068,Education,APAC,2024-04-01,Basic,93.85,0,2025-07-11,Team Alpha,61.3,6
CUST-100069,Education,APAC,2021-12-31,Basic,109.08,0,2025-07-11,Team Bravo,68.2,4
CUST-100070,Media,EMEA,2023-05-17,Pro,211.65,0,2025-07-11,Team Charlie,45.1,8
CUST-100071,Energy,APAC,2023-06-15,Enterprise,4079.97,0,2025-07-11,Team Alpha,81.4,5
